Nbre_pieces;nbre_salle_bain;superficie;adresse
4;3;;Mamelles, Dakar, Sénégal
4;3;150 m2;Mbao, Dakar, Sénégal
2;1;;Mbao, Dakar, Sénégal
4;2;;Mermoz-Sacré Coeur, Dakar, Sénégal
2;2;90;Yoff, Dakar, Sénégal
;;;Sacré-Coeur, Dakar, Sénégal
120 m2;;;Fass, Dakar, Sénégal
4;3;135;Yoff, Dakar, Sénégal
3;;;Diamalaye 1, Dakar, Sénégal
2;2;130;Yoff, Dakar, Sénégal
3;2;;Almadies, Dakar, Sénégal
4;2;150;Sicap Liberté, Dakar, Sénégal
4;4;120;Yoff, Dakar, Sénégal
4;;;Mermoz-Sacré Coeur, Dakar, Sénégal
3;2;132;Yoff, Dakar, Sénégal
3;3;132;Yoff, Dakar, Sénégal
4;3;140;Yoff, Dakar, Sénégal
1;1;48;Ngor, Dakar, Sénégal
2;2;;Almadies, Dakar, Sénégal
174;;;Mermoz-Sacré Coeur, Dakar, Sénégal
5;5;310;Almadies, Dakar, Sénégal
3;2;;Mbao, Dakar, Sénégal
3;2;;Ngor, Dakar, Sénégal
2;2;;Point E, Dakar, Sénégal
4;5;230 m2;Almadies, Dakar, Sénégal
5;;;Fann, Dakar, Sénégal
3;2;;Mermoz-Sacré Coeur, Dakar, Sénégal
3;2;;Mamelles, Dakar, Sénégal
4;4;145;Almadies, Dakar, Sénégal
5;2;12;Grand Dakar, Dakar, Sénégal
3;3;130;Mamelles, Dakar, Sénégal
1;;;Mamelles, Dakar, Sénégal
4;3;135;Yoff, Dakar, Sénégal
4;148;;Point E, Dakar, Sénégal
3;2;;Mbao, Dakar, Sénégal
3;2;12;Fann, Dakar, Sénégal
3;2;;Ouakam, Dakar, Sénégal
4;3;135;Yoff, Dakar, Sénégal
4;3;;Point E, Dakar, Sénégal
4;5;;Mermoz-Sacré Coeur, Dakar, Sénégal
3;4;;Mermoz-Sacré Coeur, Dakar, Sénégal
4;2;132;Yoff, Dakar, Sénégal
3;;;Ouakam, Dakar, Sénégal
5;;;Sacré-Coeur, Dakar, Sénégal
4;2;150;Almadies, Dakar, Sénégal
4;2;100;Ouakam, Dakar, Sénégal
6;4;400;Almadies, Dakar, Sénégal
3;1;95;Ngor, Dakar, Sénégal
4;2;110;Sacré-Coeur, Dakar, Sénégal
4;350 m2;;Mermoz-Sacré Coeur, Dakar, Sénégal
4;4;218;Ngaparou, Sénégal
3;2;130;Mamelles, Dakar, Sénégal
4;6;247 m2;Fann, Dakar, Sénégal
3;4;;Point E, Dakar, Sénégal
4;3;100;Yoff, Dakar, Sénégal
4;6;;Point E, Dakar, Sénégal
5;350 m2;;Mermoz-Sacré Coeur, Dakar, Sénégal
3;2;;Fass, Dakar, Sénégal
1;1;;Fass, Dakar, Sénégal
3;4;168 m2;Mermoz-Sacré Coeur, Dakar, Sénégal
2;2;;Medina, Dakar, Sénégal
5;7;400 m2;Almadies, Dakar, Sénégal
2;2;55 m2;Ouest Foire, Dakar, Sénégal
3;1;150 m2;Ouest Foire, Dakar, Sénégal
2;1;100 m2;Dakar, Sénégal
4;2;200 m2;Dakar, Sénégal
4;3;133;Damel, Dakar, Sénégal
3;2;150 m2;Dakar, Sénégal
3;2;150 m2;Dakar, Sénégal
2;1;57 m2;Dakar, Sénégal
4;3;160;Mariste, Dakar, Sénégal
4;3;135;Yoff, Dakar, Sénégal
4;3;134;Yoff, Dakar, Sénégal
3;2;130;Yoff, Dakar, Sénégal
2;2;126;Sacré-Coeur, Dakar, Sénégal
2;2;;Dakar, Sénégal
4;3;170 m2;Point E, Dakar, Sénégal
4;3;170 m2;Point E, Dakar, Sénégal
4;150;;Almadies, Dakar, Sénégal
3;2;;Medina, Dakar, Sénégal
4;3;200 m2;Mermoz-Sacré Coeur, Dakar, Sénégal
3;110 m2;;Mermoz-Sacré Coeur, Dakar, Sénégal
4;2;124;Rufisque, Sénégal
3;3;150;Almadies, Dakar, Sénégal
4;3;174;Mermoz-Sacré Coeur, Dakar, Sénégal
4;;;Mermoz-Sacré Coeur, Dakar, Sénégal
6;6;250 m2;Dakar, Sénégal
3;;;Diamalaye 1, Dakar, Sénégal
3;2;;Medina, Dakar, Sénégal
150;;;Almadies, Dakar, Sénégal
5;;;Ouakam, Dakar, Sénégal
8;3;;Thies, Sénégal
