Nbre_pieces;salle_bain;superficie;adresse
6;5;955;Ngaparou, Sénégal
6;5;170;Keur Massar, Sénégal
8;5;400;Almadies, Dakar, Sénégal
5;4;;Mermoz-Sacré Coeur, Dakar, Sénégal
7;5;;Mariste, Dakar, Sénégal
150 m2;;;Point E, Dakar, Sénégal
5;3;200 m2;Dakar, Sénégal
7;3;12;Ngor, Dakar, Sénégal
6;4;12;Fann, Dakar, Sénégal
;;;Mbao, Dakar, Sénégal
5;1;200 m2;Keur Massar, Sénégal
6;2;165 m2;Mbao, Dakar, Sénégal
8;5;;Point E, Dakar, Sénégal
10;4;153 m2;Keur Massar, Sénégal
200 m2;;;Dakar, Sénégal
150;;;Mermoz-Sacré Coeur, Dakar, Sénégal
5;3;;Almadies, Dakar, Sénégal
6;5;300;Mamelles, Dakar, Sénégal
6;5;;Mermoz-Sacré Coeur, Dakar, Sénégal
5;2;150;Mbao, Dakar, Sénégal
11;5;750 m2;Ngor, Dakar, Sénégal
4;330;;Mboro, Sénégal
7;5;600;Fann, Dakar, Sénégal
9;5;150 m2;Mbao, Dakar, Sénégal
3;200 m2;;Dakar, Sénégal
;;;Mbao, Dakar, Sénégal
6;5;;Mermoz-Sacré Coeur, Dakar, Sénégal
5;1;150 m2;Dakar, Sénégal
7;4;180 m2;Dakar, Sénégal
5;3;152 m2;Almadies 2, Dakar, Sénégal
8;6;200;Mamelles, Dakar, Sénégal
5;4;200 m2;Diamniadio, Sénégal
3;2;700 m2;Thies, Sénégal
4;2;300 m2;Thies, Sénégal
5;2;600 m2;Thies, Sénégal
7;5;150;Sicap Liberté, Dakar, Sénégal
8;5;200 m2;Thies, Sénégal
6;2;600 m2;Thies, Sénégal
9;6;200 m2;Mamelles, Dakar, Sénégal
5;3;;Mbao, Dakar, Sénégal
6;4;200;Yoff, Dakar, Sénégal
8;6;200;Yoff, Dakar, Sénégal
6;4;150;Yoff, Dakar, Sénégal
10;4;279 m2;Point E, Dakar, Sénégal
280;;;Mariste, Dakar, Sénégal
180;;;Grand Dakar, Dakar, Sénégal
630;;;Sacré-Coeur, Dakar, Sénégal
280;;;Yoff, Dakar, Sénégal
5;4;170;Sacré-Coeur, Dakar, Sénégal
9;260;;Ouest Foire, Dakar, Sénégal
6;4;200;Yoff, Dakar, Sénégal
7;3;12;Ngor, Dakar, Sénégal
6;7;300;Almadies, Dakar, Sénégal
7;;;Almadies, Dakar, Sénégal
150 m2;;;Dakar, Sénégal
3;5;405 m2;Mermoz-Sacré Coeur, Dakar, Sénégal
150 m2;;;Dakar, Sénégal
4;3;170 m2;Dakar, Sénégal
3;2;150 m2;Dakar, Sénégal
5;6;600;Fann, Dakar, Sénégal
605;500 m2;;Mermoz-Sacré Coeur, Dakar, Sénégal
6;5;200;Sicap Liberté, Dakar, Sénégal
