web-scraper-order,web-scraper-start-url,containers_links,containers_links-href,Nbre_pieces,salle_bain,superficie,adresse
"1752359188-1","https://sn.coinafrique.com/categorie/villas","Vente villa 6pièces -Ngaparou","https://sn.coinafrique.com/annonce/villas/vente-villa-6pieces-ngaparou-5368434","6","5","955","Ngaparou, Sénégal"
"1752359192-2","https://sn.coinafrique.com/categorie/villas","Vente villa 6pièces -Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-6pieces-keur-massar-5412003","6","5","170","Keur Massar, Sénégal"
"1752359204-3","https://sn.coinafrique.com/categorie/villas","Location villas 8 pièces à  Almadies","https://sn.coinafrique.com/annonce/villas/location-villas-8-pieces-a-almadies-5366416","8","5","400","Almadies, Dakar, Sénégal"
"1752359210-4","https://sn.coinafrique.com/categorie/villas","Location villas 5 pièces - Mermoz-sacré coeur","https://sn.coinafrique.com/annonce/villas/location-villas-5-pieces-mermoz-sacre-coeur-5371272","5","4","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752359213-5","https://sn.coinafrique.com/categorie/villas","Location  villa 6 chambres  Mariste","https://sn.coinafrique.com/annonce/villas/location-villa-6-chambres-mariste-5371333","7","5","","Mariste, Dakar, Sénégal"
"1752359218-6","https://sn.coinafrique.com/categorie/villas","Vente villa à démolir -150m² -Amitié","https://sn.coinafrique.com/annonce/villas/vente-villa-a-demolir-150m-amitie-5386043","150 m2","","","Point E, Dakar, Sénégal"
"1752359221-7","https://sn.coinafrique.com/categorie/villas","Location villa 6pièces -VDN","https://sn.coinafrique.com/annonce/villas/location-villa-6pieces-vdn-5415838","5","3","200 m2","Dakar, Sénégal"
"1752359226-8","https://sn.coinafrique.com/categorie/villas","Location villa 7 pièces - Ngor","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-ngor-5410636","7","3","12","Ngor, Dakar, Sénégal"
"1752359229-9","https://sn.coinafrique.com/categorie/villas","Location villa 6 pièces - Fann","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-fann-5410656","6","4","12","Fann, Dakar, Sénégal"
"1752359233-10","https://sn.coinafrique.com/categorie/villas","Location villa à Sipres Gand Mbao","https://sn.coinafrique.com/annonce/villas/location-villa-a-sipres-gand-mbao-5416279","","","","Mbao, Dakar, Sénégal"
"1752359241-11","https://sn.coinafrique.com/categorie/villas","Vente villa titre foncier  non loin de tôl Abdoulaye Wade","https://sn.coinafrique.com/annonce/villas/vente-villa-titre-foncier-non-loin-de-tol-abdoulaye-wade-5410962","5","1","200 m2","Keur Massar, Sénégal"
"1752359247-12","https://sn.coinafrique.com/categorie/villas","Vente maison à Keür mbaye fall","https://sn.coinafrique.com/annonce/villas/vente-maison-a-keur-mbaye-fall-5410992","6","2","165 m2","Mbao, Dakar, Sénégal"
"1752359250-13","https://sn.coinafrique.com/categorie/villas","Location villas 08 pièces - Point E","https://sn.coinafrique.com/annonce/villas/location-villas-08-pieces-point-e-5411028","8","5","","Point E, Dakar, Sénégal"
"1752359257-14","https://sn.coinafrique.com/categorie/villas","Vente villa R+1 à Keür massar","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-a-keur-massar-5411113","10","4","153 m2","Keur Massar, Sénégal"
"1752359263-15","https://sn.coinafrique.com/categorie/villas","Vente  maison à demolir d'angle Sicap Karack dakar","https://sn.coinafrique.com/annonce/villas/vente-maison-a-demolir-dangle-sicap-karack-dakar-5400507","200 m2","","","Dakar, Sénégal"
"1752359271-16","https://sn.coinafrique.com/categorie/villas","Vente villa - Amitié 3","https://sn.coinafrique.com/annonce/villas/vente-villa-amitie-3-5369689","150","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752359278-17","https://sn.coinafrique.com/categorie/villas","Location villa  r+1  à  Almadies","https://sn.coinafrique.com/annonce/villas/location-villa-r1-a-almadies-5382500","5","3","","Almadies, Dakar, Sénégal"
"1752359284-18","https://sn.coinafrique.com/categorie/villas","Location villas 6 pièces - Mamelles","https://sn.coinafrique.com/annonce/villas/location-villas-6-pieces-mamelles-5369767","6","5","300","Mamelles, Dakar, Sénégal"
"1752359292-19","https://sn.coinafrique.com/categorie/villas","Location villa R+1 à  Mermoz jardin et piscine","https://sn.coinafrique.com/annonce/villas/location-villa-r1-a-mermoz-jardin-et-piscine-5373182","6","5","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752359299-20","https://sn.coinafrique.com/categorie/villas","Location villa 5pièces -Mbao","https://sn.coinafrique.com/annonce/villas/location-villa-5pieces-mbao-5417248","5","2","150","Mbao, Dakar, Sénégal"
"1752359304-21","https://sn.coinafrique.com/categorie/villas","Vente  villa 8pièces -Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-8pieces-almadies-5373316","11","5","750 m2","Ngor, Dakar, Sénégal"
"1752359312-22","https://sn.coinafrique.com/categorie/villas","Vente villa - Mboro","https://sn.coinafrique.com/annonce/villas/vente-villa-mboro-5417359","4","330","","Mboro, Sénégal"
"1752359320-23","https://sn.coinafrique.com/categorie/villas","Vente villa 7pièces - Fann","https://sn.coinafrique.com/annonce/villas/vente-villa-7pieces-fann-5396779","7","5","600","Fann, Dakar, Sénégal"
"1752359324-24","https://sn.coinafrique.com/categorie/villas","Vente villa 8pièces -Sengal","https://sn.coinafrique.com/annonce/villas/vente-villa-8pieces-sengal-5401632","9","5","150 m2","Mbao, Dakar, Sénégal"
"1752359330-25","https://sn.coinafrique.com/categorie/villas","Vente villa basse à Fass Mbao à la cité Nelson Mandela","https://sn.coinafrique.com/annonce/villas/vente-villa-basse-a-fass-mbao-a-la-cite-nelson-mandela-5402427","3","200 m2","","Dakar, Sénégal"
"1752359336-26","https://sn.coinafrique.com/categorie/villas","Vente villas - Mbao","https://sn.coinafrique.com/annonce/villas/vente-villas-mbao-5402455","","","","Mbao, Dakar, Sénégal"
"1752359343-27","https://sn.coinafrique.com/categorie/villas","Location villa R+1  à Mermoz","https://sn.coinafrique.com/annonce/villas/location-villa-r1-a-mermoz-5378926","6","5","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752359349-28","https://sn.coinafrique.com/categorie/villas","Vente villa 5pièces -Keur Mbaye Fall","https://sn.coinafrique.com/annonce/villas/vente-villa-5pieces-keur-mbaye-fall-5408746","5","1","150 m2","Dakar, Sénégal"
"1752359353-29","https://sn.coinafrique.com/categorie/villas","Vente villa 7pièces -Keur Mbaye Fall","https://sn.coinafrique.com/annonce/villas/vente-villa-7pieces-keur-mbaye-fall-5408749","7","4","180 m2","Dakar, Sénégal"
"1752359358-30","https://sn.coinafrique.com/categorie/villas","Vente villa 5pièces -Almadie 2","https://sn.coinafrique.com/annonce/villas/vente-villa-5pieces-almadie-2-5397546","5","3","152 m2","Almadies 2, Dakar, Sénégal"
"1752359361-31","https://sn.coinafrique.com/categorie/villas","Vente villa 8pièces -Mamelles","https://sn.coinafrique.com/annonce/villas/vente-villa-8pieces-mamelles-5374819","8","6","200","Mamelles, Dakar, Sénégal"
"1752359365-32","https://sn.coinafrique.com/categorie/villas","Vente villa 5pièces -Diamniadio","https://sn.coinafrique.com/annonce/villas/vente-villa-5pieces-diamniadio-5375007","5","4","200 m2","Diamniadio, Sénégal"
"1752359369-33","https://sn.coinafrique.com/categorie/villas","Vente villa 4pièces -Saly","https://sn.coinafrique.com/annonce/villas/vente-villa-4pieces-saly-5374958","3","2","700 m2","Thies, Sénégal"
"1752359374-34","https://sn.coinafrique.com/categorie/villas","Vente villa 4pièces avec piscine -S...","https://sn.coinafrique.com/annonce/villas/vente-villa-4pieces-avec-piscine-somone-5415726","4","2","300 m2","Thies, Sénégal"
"1752359380-35","https://sn.coinafrique.com/categorie/villas","Vente villa 5pièces -Saly ngaparou","https://sn.coinafrique.com/annonce/villas/vente-villa-5pieces-saly-ngaparou-5392498","5","2","600 m2","Thies, Sénégal"
"1752359385-36","https://sn.coinafrique.com/categorie/villas","Vente villa 7pièces -Liberté 6","https://sn.coinafrique.com/annonce/villas/vente-villa-7pieces-liberte-6-5381339","7","5","150","Sicap Liberté, Dakar, Sénégal"
"1752359390-37","https://sn.coinafrique.com/categorie/villas","Vente villa 6pièces -Mamelles\Dakar","https://sn.coinafrique.com/annonce/villas/vente-villa-6pieces-mamellesdakar-5392519","8","5","200 m2","Thies, Sénégal"
"1752359399-38","https://sn.coinafrique.com/categorie/villas","Vente villa 6pièces -Mboro","https://sn.coinafrique.com/annonce/villas/vente-villa-6pieces-mboro-5415772","6","2","600 m2","Thies, Sénégal"
"1752359406-39","https://sn.coinafrique.com/categorie/villas","Location villa 8pièces -Cité Touba Renaissance","https://sn.coinafrique.com/annonce/villas/location-villa-8pieces-cite-touba-renaissance-5392591","9","6","200 m2","Mamelles, Dakar, Sénégal"
"1752359411-40","https://sn.coinafrique.com/categorie/villas","Location villa duplex R+1  Almadie 2 zac mbao","https://sn.coinafrique.com/annonce/villas/location-villa-duplex-r1-almadie-2-zac-mbao-5389668","5","3","","Mbao, Dakar, Sénégal"
"1752359415-41","https://sn.coinafrique.com/categorie/villas","Location villa 6 pièces - Yoff Onomo","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-yoff-onomo-5385220","6","4","200","Yoff, Dakar, Sénégal"
"1752359420-42","https://sn.coinafrique.com/categorie/villas","Location villas  8 pièces à Cite Biagui","https://sn.coinafrique.com/annonce/villas/location-villas-8-pieces-a-cite-biagui-5381898","8","6","200","Yoff, Dakar, Sénégal"
"1752359426-43","https://sn.coinafrique.com/categorie/villas","Location villa 6 pièces - Yoff onomo","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-yoff-onomo-5385206","6","4","150","Yoff, Dakar, Sénégal"
"1752359432-44","https://sn.coinafrique.com/categorie/villas","Vente  villa à démolir à Dakar","https://sn.coinafrique.com/annonce/villas/vente-villa-a-demolir-a-dakar-5394768","10","4","279 m2","Point E, Dakar, Sénégal"
"1752359436-45","https://sn.coinafrique.com/categorie/villas","Vente Villas - Mariste","https://sn.coinafrique.com/annonce/villas/vente-villas-mariste-5404504","280","","","Mariste, Dakar, Sénégal"
"1752359441-46","https://sn.coinafrique.com/categorie/villas","Vente villas à démolir - Grand Dakar","https://sn.coinafrique.com/annonce/villas/vente-villas-a-demolir-grand-dakar-5404533","180","","","Grand Dakar, Dakar, Sénégal"
"1752359444-47","https://sn.coinafrique.com/categorie/villas","Vente villa 650 m² Sacré-coeur 1 titre foncier","https://sn.coinafrique.com/annonce/villas/vente-villa-650-m-sacre-coeur-1-titre-foncier-5385427","630","","","Sacré-Coeur, Dakar, Sénégal"
"1752359449-48","https://sn.coinafrique.com/categorie/villas","Vente villas démolir- Yoff","https://sn.coinafrique.com/annonce/villas/vente-villas-demolir-yoff-5404600","280","","","Yoff, Dakar, Sénégal"
"1752359455-49","https://sn.coinafrique.com/categorie/villas","Location villas 5 pièces - cité Mourtala","https://sn.coinafrique.com/annonce/villas/location-villas-5-pieces-cite-mourtala-5393304","5","4","170","Sacré-Coeur, Dakar, Sénégal"
"1752359459-50","https://sn.coinafrique.com/categorie/villas","Vente villa R+2 - Ouest foire","https://sn.coinafrique.com/annonce/villas/vente-villa-r2-ouest-foire-5394939","9","260","","Ouest Foire, Dakar, Sénégal"
"1752359465-51","https://sn.coinafrique.com/categorie/villas","Location villas 6 pièces - cite Djily mbaye","https://sn.coinafrique.com/annonce/villas/location-villas-6-pieces-cite-djily-mbaye-5416915","6","4","200","Yoff, Dakar, Sénégal"
"1752359472-52","https://sn.coinafrique.com/categorie/villas","Location villas 7 pièces à Ngor","https://sn.coinafrique.com/annonce/villas/location-villas-7-pieces-a-ngor-5420164","7","3","12","Ngor, Dakar, Sénégal"
"1752359481-53","https://sn.coinafrique.com/categorie/villas","Vente villa 6 pièces  Ngor- almadie...","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-ngor-almadies-5416980","6","7","300","Almadies, Dakar, Sénégal"
"1752359491-54","https://sn.coinafrique.com/categorie/villas","Location villa 7 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-almadies-5390091","7","","","Almadies, Dakar, Sénégal"
"1752359496-55","https://sn.coinafrique.com/categorie/villas","Vente villa à démolir à Karack Amitié","https://sn.coinafrique.com/annonce/villas/vente-villa-a-demolir-a-karack-amitie-5384208","150 m2","","","Dakar, Sénégal"
"1752359499-56","https://sn.coinafrique.com/categorie/villas","Vente villa triplex 6pièces - Dakar","https://sn.coinafrique.com/annonce/villas/vente-villa-triplex-6pieces-dakar-5418933","3","5","405 m2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752359503-57","https://sn.coinafrique.com/categorie/villas","Vente villas 6 chs à Sipres Mourtada","https://sn.coinafrique.com/annonce/villas/vente-villas-6-chs-a-sipres-mourtada-5384213","150 m2","","","Dakar, Sénégal"
"1752359510-58","https://sn.coinafrique.com/categorie/villas","Vente appartement 4pièces -Virage","https://sn.coinafrique.com/annonce/villas/vente-appartement-4pieces-virage-5399330","4","3","170 m2","Dakar, Sénégal"
"1752359515-59","https://sn.coinafrique.com/categorie/villas","Location appartement 4pièces -Mamelles","https://sn.coinafrique.com/annonce/villas/location-appartement-4pieces-mamelles-5410017","3","2","150 m2","Dakar, Sénégal"
"1752359519-60","https://sn.coinafrique.com/categorie/villas","Location villa 05pièces - Fann_résidence","https://sn.coinafrique.com/annonce/villas/location-villa-05pieces-fann-residence-5417488","5","6","600","Fann, Dakar, Sénégal"
"1752359525-61","https://sn.coinafrique.com/categorie/villas","Location villa 5pièces - Mermoz","https://sn.coinafrique.com/annonce/villas/location-villa-5pieces-mermoz-5411887","605","500 m2","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752359531-62","https://sn.coinafrique.com/categorie/villas","Location villa 6pièces -Liberté 6","https://sn.coinafrique.com/annonce/villas/location-villa-6pieces-liberte-6-5399428","6","5","200","Sicap Liberté, Dakar, Sénégal"
